P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,DRS_nu,a1,a2,a3,a4,a5,rho,nu
GJ 3341 b,Superterran,rocky-iron,non-habitable,0,-1.605724,0.1,0.1,0.6,0.1,0.1,1,0.99
GJ 3634 b,Superterran,rocky-iron,non-habitable,0,-1.786867,0.1,0.1,0.1,0.6,0.1,1,0.99
GJ 3998 b,Terran,rocky-iron,non-habitable,0,-1.84177,0.1,0.1,0.1,0.6,0.1,1,0.99
GJ 3998 c,Superterran,rocky-iron,non-habitable,0,-1.571249,0.1,0.1,0.6,0.1,0.1,1,0.99
HD 1461 b,Superterran,rocky-iron,non-habitable,0,-2.745433,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 1461 c,Superterran,rocky-iron,non-habitable,0,-2.191971,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 3167 b,Superterran,rocky-iron,non-habitable,0,-3.744682,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 7924 c,Superterran,rocky-iron,non-habitable,0,-1.84878,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 7924 d,Superterran,rocky-iron,non-habitable,0,-1.64623,0.1,0.1,0.362374,0.337626,0.1,1,0.99
HD 20794 b,Terran,rocky-iron,non-habitable,0,-1.823566,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 20794 c,Terran,rocky-iron,non-habitable,0,-1.4996,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 20794 d,Terran,rocky-iron,non-habitable,0,-1.442711,0.1,0.1,0.6,0.1,0.1,1,0.99
HD 39194 b,Terran,rocky-iron,non-habitable,0,-2.331929,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 39194 c,Superterran,rocky-iron,non-habitable,0,-1.915753,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 39194 d,Superterran,rocky-iron,non-habitable,0,-1.561743,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 40307 b,Terran,rocky-iron,non-habitable,0,-2.19103,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 40307 c,Superterran,rocky-iron,non-habitable,0,-1.861201,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 40307 d,Superterran,rocky-iron,non-habitable,0,-1.773929,0.1,0.1,0.6,0.1,0.1,1,0.99
HD 40307 e,Terran,rocky-iron,non-habitable,0,-1.347353,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 40307 f,Terran,rocky-iron,non-habitable,0,-1.321393,0.1,0.1,0.6,0.1,0.1,1,0.99
HD 40307 g,Superterran,rocky-iron,psychroplanet,1,-1.603261,0.1,0.1,0.6,0.1,0.1,1,0.99
HD 85512 b,Terran,rocky-iron,non-habitable,0,-1.295586,0.1,0.1,0.6,0.1,0.1,1,0.99
HD 93385 b,Superterran,rocky-iron,non-habitable,0,-2.38227,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 96700 b,Superterran,rocky-iron,non-habitable,0,-2.695614,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 97658 b,Superterran,rocky-water,non-habitable,0,-1.98852,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 106315 b,Superterran,rocky-water,non-habitable,0,-2.652934,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 134606 b,Superterran,rocky-iron,non-habitable,0,-2.328821,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 136352 b,Superterran,rocky-iron,non-habitable,0,-2.295894,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 136352 d,Superterran,rocky-iron,non-habitable,0,-1.833181,0.1,0.1,0.6,0.1,0.1,1,0.99
HD 154088 b,Superterran,rocky-iron,non-habitable,0,-1.931284,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 156668 b,Terran,rocky-iron,non-habitable,0,-2.184482,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 175607 b,Superterran,rocky-iron,non-habitable,0,-1.800864,0.1,0.1,0.6,0.1,0.1,1,0.99
HD 181433 b,Superterran,rocky-iron,non-habitable,0,-1.999621,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 215152 b,Terran,rocky-iron,non-habitable,0,-1.949723,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 215152 c,Terran,rocky-iron,non-habitable,0,-1.782274,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 215497 b,Superterran,rocky-iron,non-habitable,0,-2.611718,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 219134 b,Terran,rocky-iron,non-habitable,0,-2.407661,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 219134 c,Terran,rocky-iron,non-habitable,0,-1.970167,0.1,0.1,0.1,0.6,0.1,1,0.99
HD 219134 e,Terran,rocky-iron,non-habitable,0,-1.277036,0.1,0.1,0.6,0.1,0.1,1,0.99
HIP 68468 b,Terran,rocky-iron,non-habitable,0,-3.67666,0.1,0.1,0.1,0.6,0.1,1,0.99
HIP 116454 b,Superterran,rocky-water,non-habitable,0,-2.037337,0.6,0.1,0.1,0.1,0.1,1,0.99
K2-3 b,Superterran,rocky-iron,non-habitable,0,-2.075066,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-3 c,Superterran,rocky-iron,non-habitable,0,-1.648441,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-3 d,Terran,rocky-iron,non-habitable,1,-2.380328,0.1,0.6,0.1,0.1,0.1,1,0.99
K2-4 b,Superterran,rocky-iron,non-habitable,0,-2.358069,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-5 b,Superterran,rocky-iron,non-habitable,0,-1.789,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-5 c,Superterran,rocky-iron,non-habitable,0,-2.182183,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-6 b,Superterran,rocky-iron,non-habitable,0,-2.584025,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-8 c,Superterran,rocky-iron,non-habitable,0,-2.516671,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-9 b,Superterran,rocky-iron,thermoplanet,1,-2.10645,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-12 b,Superterran,rocky-iron,non-habitable,0,-2.642804,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-13 b,Superterran,rocky-iron,non-habitable,0,-1.738081,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-15 b,Superterran,rocky-iron,non-habitable,0,-2.563692,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-16 b,Superterran,rocky-iron,non-habitable,0,-2.012319,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-17 b,Superterran,rocky-iron,non-habitable,0,-2.13877,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-18 b,Superterran,rocky-iron,mesoplanet,1,-2.083754,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-19 d,Terran,rocky-iron,non-habitable,0,-2.850349,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-21 b,Superterran,rocky-iron,non-habitable,0,-1.572338,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-21 c,Superterran,rocky-iron,non-habitable,0,-1.755035,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-22 b,Superterran,rocky-iron,non-habitable,0,-18.611908,0.1,0.6,0.1,0.1,0.1,1,0.99
K2-28 b,Superterran,rocky-iron,non-habitable,0,-2.285818,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-35 b,Terran,rocky-iron,non-habitable,0,-2.475195,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-35 c,Superterran,rocky-iron,non-habitable,0,-2.201261,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-36 b,Terran,rocky-iron,non-habitable,0,-2.969507,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-37 b,Superterran,rocky-iron,non-habitable,0,-2.525178,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-38 b,Superterran,rocky-iron,non-habitable,0,-3.284475,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-38 c,Superterran,rocky-water,non-habitable,0,-2.367876,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-42 b,Superterran,rocky-iron,non-habitable,0,-2.105747,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-46 b,Superterran,rocky-iron,non-habitable,0,-2.402264,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-47 b,Superterran,rocky-iron,non-habitable,0,-1.73056,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-48 b,Superterran,rocky-iron,non-habitable,0,-2.170267,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-49 b,Superterran,rocky-iron,non-habitable,0,-2.072521,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-50 b,Superterran,rocky-iron,non-habitable,0,-1.617499,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-53 b,Superterran,rocky-iron,non-habitable,0,-2.620078,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-54 b,Terran,rocky-iron,non-habitable,0,-1.216712,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-57 b,Superterran,rocky-iron,non-habitable,0,-2.007554,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-58 c,Superterran,rocky-iron,non-habitable,0,-2.956451,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-58 d,Superterran,rocky-iron,non-habitable,0,-1.726697,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-59 b,Superterran,rocky-iron,non-habitable,0,-2.420172,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-59 c,Superterran,rocky-iron,non-habitable,0,-2.297183,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-61 b,Superterran,rocky-iron,non-habitable,0,-4.189518,0.1,0.1,0.1,0.6,0.1,1,0.99
