P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,DRS_nu,a1,a2,a3,a4,a5,rho,nu
Kepler-78 b,Terran,rocky-iron,non-habitable,0,-4.358334,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-80 b,Superterran,rocky-water,non-habitable,0,-1.872268,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-80 d,Terran,rocky-iron,non-habitable,0,-2.448788,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-80 e,Terran,rocky-iron,non-habitable,0,-2.050776,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-80 f,Terran,rocky-iron,non-habitable,0,-2.963917,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-81 c,Superterran,rocky-iron,non-habitable,0,-2.473907,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-81 d,Terran,rocky-iron,non-habitable,0,-1.259725,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-82 d,Superterran,rocky-iron,non-habitable,0,-3.227083,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-82 e,Superterran,rocky-iron,non-habitable,0,-2.788302,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-83 b,Superterran,rocky-iron,non-habitable,0,-2.305936,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-83 c,Superterran,rocky-iron,non-habitable,0,-1.758241,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-83 d,Superterran,rocky-iron,non-habitable,0,-1.86034,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-84 b,Superterran,rocky-iron,non-habitable,0,-2.64938,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-84 c,Superterran,rocky-iron,non-habitable,0,-2.509785,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-84 d,Terran,rocky-iron,non-habitable,0,-2.887081,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-84 f,Superterran,rocky-iron,non-habitable,0,-2.122552,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-85 b,Superterran,rocky-iron,non-habitable,0,-2.434562,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-85 c,Superterran,rocky-iron,non-habitable,0,-2.390748,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-85 d,Terran,rocky-iron,non-habitable,0,-1.715908,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-85 e,Terran,rocky-iron,non-habitable,0,-1.595166,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-89 b,Superterran,rocky-iron,non-habitable,0,-3.904572,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-90 b,Terran,rocky-iron,non-habitable,0,-2.60179,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-90 c,Terran,rocky-iron,non-habitable,0,-2.378263,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-92 d,Superterran,rocky-iron,non-habitable,0,-1.999908,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-93 b,Terran,rocky-iron,non-habitable,0,-2.662083,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-100 d,Terran,rocky-water,non-habitable,0,-1.879605,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-101 c,Terran,rocky-iron,non-habitable,0,-2.942293,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-102 d,Terran,rocky-iron,non-habitable,0,-1.814013,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-102 e,Superterran,rocky-water,non-habitable,0,-1.806571,0.6,0.1,0.1,0.1,0.1,1,0.99
Kepler-102 f,Terran,rocky-iron,non-habitable,0,-1.276021,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-105 c,Terran,rocky-iron,non-habitable,0,-2.740574,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-106 c,Superterran,rocky-water,non-habitable,0,-2.235674,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-106 e,Neptunian,rocky-water,non-habitable,0,-1.992323,0.6,0.1,0.1,0.1,0.1,1,0.99
Kepler-107 b,Superterran,rocky-iron,non-habitable,0,-3.511824,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-107 c,Superterran,rocky-iron,non-habitable,0,-3.130252,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-107 d,Terran,rocky-iron,non-habitable,0,-2.580423,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-110 b,Superterran,rocky-iron,non-habitable,0,-2.365136,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-110 c,Superterran,rocky-iron,non-habitable,0,-2.168302,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-111 b,Superterran,rocky-iron,non-habitable,0,-3.219542,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-112 b,Superterran,rocky-iron,non-habitable,0,-2.463463,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-112 c,Superterran,rocky-iron,non-habitable,0,-2.408213,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-113 b,Superterran,rocky-iron,non-habitable,0,-2.318105,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-113 c,Superterran,rocky-water,non-habitable,0,-1.880056,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-115 b,Terran,rocky-iron,non-habitable,0,-3.511376,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-116 c,Superterran,rocky-iron,non-habitable,0,-2.730366,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-118 b,Superterran,rocky-iron,non-habitable,0,-2.484064,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-119 c,Terran,rocky-iron,non-habitable,0,-2.433581,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-120 b,Superterran,rocky-iron,non-habitable,0,-2.073538,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-120 c,Terran,rocky-iron,non-habitable,0,-1.413303,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-121 b,Superterran,rocky-iron,non-habitable,0,-2.819654,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-121 c,Superterran,rocky-iron,non-habitable,0,-2.189618,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-122 b,Superterran,rocky-iron,non-habitable,0,-3.17172,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-122 d,Superterran,rocky-iron,non-habitable,0,-2.263536,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-123 c,Terran,rocky-iron,non-habitable,0,-1.944396,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-124 b,Subterran,rocky-iron,non-habitable,0,-2.115061,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-124 c,Superterran,rocky-iron,non-habitable,0,-1.713118,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-124 d,Terran,rocky-iron,non-habitable,0,-1.263018,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-125 b,Superterran,rocky-iron,non-habitable,0,-2.377813,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-125 c,Subterran,rocky-iron,non-habitable,0,-1.381113,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-126 b,Terran,rocky-iron,non-habitable,0,-2.575438,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-126 c,Terran,rocky-iron,non-habitable,0,-2.146336,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-127 b,Terran,rocky-iron,non-habitable,0,-2.344566,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-127 c,Superterran,rocky-iron,non-habitable,0,-2.452508,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-129 b,Superterran,rocky-iron,non-habitable,0,-2.661879,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-130 b,Terran,rocky-iron,non-habitable,0,-2.377854,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-130 d,Terran,rocky-iron,non-habitable,0,-1.398751,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-131 b,Superterran,rocky-water,non-habitable,0,-2.191276,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-132 b,Terran,rocky-iron,non-habitable,0,-2.692673,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-132 c,Terran,rocky-iron,non-habitable,0,-2.69443,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-132 d,Terran,rocky-iron,non-habitable,0,-2.110721,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-133 b,Superterran,rocky-iron,non-habitable,0,-2.72763,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-134 b,Superterran,rocky-iron,non-habitable,0,-3.049503,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-134 c,Terran,rocky-iron,non-habitable,0,-2.364523,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-135 b,Superterran,rocky-iron,non-habitable,0,-2.983868,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-135 c,Terran,rocky-iron,non-habitable,0,-2.333442,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-136 b,Superterran,rocky-iron,non-habitable,0,-2.662573,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-136 c,Superterran,rocky-iron,non-habitable,0,-2.429043,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-137 b,Terran,rocky-iron,non-habitable,0,-2.000236,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-137 c,Superterran,rocky-iron,non-habitable,0,-1.780716,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-138 b,Mercurian,rocky-water,non-habitable,0,-1.118484,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-140 b,Superterran,rocky-iron,non-habitable,0,-3.46714,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-140 c,Superterran,rocky-iron,non-habitable,0,-1.637948,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-141 b,Subterran,rocky-iron,non-habitable,0,-2.277855,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-141 c,Terran,rocky-iron,non-habitable,0,-1.996754,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-142 b,Superterran,rocky-iron,non-habitable,0,-3.942368,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-142 d,Superterran,rocky-iron,non-habitable,0,-2.095586,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-143 b,Superterran,rocky-iron,non-habitable,0,-2.546673,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-144 b,Terran,rocky-iron,non-habitable,0,-2.828022,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-144 c,Terran,rocky-iron,non-habitable,0,-2.44699,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-145 b,Neptunian,rocky-iron,non-habitable,0,-2.993768,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-145 c,Neptunian,rocky-water,non-habitable,0,-3.368744,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-147 b,Terran,rocky-iron,non-habitable,0,-2.46424,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-147 c,Superterran,rocky-iron,non-habitable,0,-2.513845,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-148 b,Superterran,rocky-iron,non-habitable,0,-3.211633,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-149 c,Superterran,rocky-iron,non-habitable,0,-1.437382,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-150 b,Terran,rocky-iron,non-habitable,0,-2.74923,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-151 c,Superterran,rocky-iron,non-habitable,0,-1.980634,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-152 c,Superterran,rocky-iron,non-habitable,0,-2.319059,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-154 b,Superterran,rocky-iron,non-habitable,0,-2.22436,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-154 e,Terran,rocky-iron,non-habitable,0,-2.871287,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-154 f,Terran,rocky-iron,non-habitable,0,-2.243039,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-155 b,Superterran,rocky-iron,non-habitable,0,-2.041767,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-155 c,Superterran,rocky-iron,non-habitable,0,-2.107091,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-156 b,Superterran,rocky-iron,non-habitable,0,-2.551454,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-157 b,Terran,rocky-iron,non-habitable,0,-3.621818,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-157 c,Superterran,rocky-iron,non-habitable,0,-2.350619,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-158 b,Superterran,rocky-iron,non-habitable,0,-2.006209,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-158 c,Superterran,rocky-iron,non-habitable,0,-1.72496,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-159 b,Superterran,rocky-iron,non-habitable,0,-2.38685,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-160 b,Terran,rocky-iron,non-habitable,0,-2.727426,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-161 b,Superterran,rocky-iron,non-habitable,0,-2.47732,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-161 c,Superterran,rocky-iron,non-habitable,0,-2.259322,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-162 b,Terran,rocky-iron,non-habitable,0,-2.388649,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-163 b,Terran,rocky-iron,non-habitable,0,-2.167292,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-163 c,Superterran,rocky-iron,non-habitable,0,-2.245739,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-164 b,Terran,rocky-iron,non-habitable,0,-2.840227,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-164 d,Superterran,rocky-iron,non-habitable,0,-2.531015,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-165 b,Superterran,rocky-iron,non-habitable,0,-2.364073,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-165 c,Superterran,rocky-iron,non-habitable,0,-2.192121,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-166 b,Superterran,rocky-iron,non-habitable,0,-2.328003,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-166 c,Superterran,rocky-iron,non-habitable,0,-2.348138,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-167 b,Terran,rocky-iron,non-habitable,0,-2.13688,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-167 c,Terran,rocky-iron,non-habitable,0,-1.850748,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-167 d,Terran,rocky-iron,non-habitable,0,-1.413097,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-168 b,Terran,rocky-iron,non-habitable,0,-3.01169,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-169 b,Terran,rocky-iron,non-habitable,0,-2.364482,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-169 c,Terran,rocky-iron,non-habitable,0,-1.998638,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-169 d,Terran,rocky-iron,non-habitable,0,-1.866284,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-169 e,Superterran,rocky-iron,non-habitable,0,-2.140667,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-171 b,Superterran,rocky-iron,non-habitable,0,-2.87598,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-171 d,Superterran,rocky-iron,non-habitable,0,-1.738149,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-172 b,Superterran,rocky-iron,non-habitable,0,-3.38346,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-172 d,Superterran,rocky-iron,non-habitable,0,-2.263775,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-173 b,Terran,rocky-iron,non-habitable,0,-2.8619,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-173 c,Superterran,rocky-iron,non-habitable,0,-2.779688,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-174 b,Superterran,rocky-iron,non-habitable,0,-1.832286,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-174 c,Terran,rocky-iron,non-habitable,0,-1.295442,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-174 d,Superterran,rocky-iron,psychroplanet,1,-1.993866,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-176 b,Terran,rocky-iron,non-habitable,0,-2.331316,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-179 b,Superterran,rocky-iron,non-habitable,0,-2.739308,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-179 c,Superterran,rocky-iron,non-habitable,0,-2.305548,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-180 b,Terran,rocky-iron,non-habitable,0,-2.113914,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-181 b,Terran,rocky-iron,non-habitable,0,-2.518885,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-181 c,Superterran,rocky-iron,non-habitable,0,-2.539399,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-183 b,Superterran,rocky-iron,non-habitable,0,-2.738001,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-183 c,Superterran,rocky-iron,non-habitable,0,-2.384233,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-184 b,Superterran,rocky-iron,non-habitable,0,-2.443331,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-184 c,Superterran,rocky-iron,non-habitable,0,-1.946814,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-184 d,Superterran,rocky-iron,non-habitable,0,-2.558421,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-185 b,Terran,rocky-iron,non-habitable,0,-3.028455,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-185 c,Superterran,rocky-iron,non-habitable,0,-1.907707,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-186 b,Terran,rocky-iron,non-habitable,0,-1.574678,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-186 c,Terran,rocky-iron,non-habitable,0,-1.40541,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-186 d,Superterran,rocky-iron,non-habitable,0,-1.363727,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-186 e,Terran,rocky-iron,non-habitable,0,-1.148318,0.6,0.1,0.1,0.1,0.1,1,0.99
Kepler-186 f,Terran,rocky-iron,hypopsychroplanet,1,-1,0.358799,0.126931,0.314271,0.1,0.1,0.746465,0
Kepler-187 b,Terran,rocky-iron,non-habitable,0,-3.049748,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-188 b,Superterran,rocky-iron,non-habitable,0,-3.792302,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-189 b,Terran,rocky-iron,non-habitable,0,-1.798842,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-189 c,Superterran,rocky-iron,non-habitable,0,-2.373731,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-190 b,Superterran,rocky-iron,non-habitable,0,-2.896549,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-190 c,Terran,rocky-iron,non-habitable,0,-2.431823,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-191 b,Terran,rocky-iron,non-habitable,0,-1.892188,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-191 c,Superterran,rocky-iron,non-habitable,0,-1.795397,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-191 d,Superterran,rocky-iron,non-habitable,0,-2.479691,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-193 b,Superterran,rocky-iron,non-habitable,0,-2.693082,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-194 b,Terran,rocky-iron,non-habitable,0,-3.602477,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-194 d,Superterran,rocky-iron,non-habitable,0,-2.400343,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-195 b,Superterran,rocky-iron,non-habitable,0,-2.200893,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-195 c,Terran,rocky-iron,non-habitable,0,-1.470758,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-196 b,Superterran,rocky-iron,non-habitable,0,-1.770695,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-196 c,Superterran,rocky-iron,non-habitable,0,-2.13759,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-197 b,Terran,rocky-iron,non-habitable,0,-2.722444,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-197 d,Terran,rocky-iron,non-habitable,0,-2.093812,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-197 e,Terran,rocky-iron,non-habitable,0,-1.797939,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-198 c,Superterran,rocky-iron,non-habitable,0,-2.490862,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-198 d,Terran,rocky-iron,non-habitable,0,-3.726324,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-200 b,Superterran,rocky-iron,non-habitable,0,-2.463055,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-200 c,Superterran,rocky-iron,non-habitable,0,-2.183909,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-201 b,Superterran,rocky-iron,non-habitable,0,-2.553218,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-202 b,Superterran,rocky-iron,non-habitable,0,-2.162872,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-202 c,Superterran,rocky-iron,non-habitable,0,-1.697007,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-203 c,Superterran,rocky-iron,non-habitable,0,-3.083926,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-203 d,Terran,rocky-iron,non-habitable,0,-2.23191,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-204 c,Superterran,rocky-iron,non-habitable,0,-1.994583,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-205 b,Terran,rocky-iron,non-habitable,0,-2.120956,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-205 c,Superterran,rocky-iron,non-habitable,0,-1.448294,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-206 b,Terran,rocky-iron,non-habitable,0,-2.448257,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-206 c,Superterran,rocky-iron,non-habitable,0,-2.286118,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-206 d,Terran,rocky-iron,non-habitable,0,-1.818564,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-207 b,Superterran,rocky-iron,non-habitable,0,-4.467564,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-207 c,Terran,rocky-iron,non-habitable,0,-3.707843,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-208 b,Superterran,rocky-iron,non-habitable,0,-3.2429,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-208 c,Terran,rocky-iron,non-habitable,0,-2.706967,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-208 d,Terran,rocky-iron,non-habitable,0,-2.377118,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-208 e,Terran,rocky-iron,non-habitable,0,-2.226509,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-209 b,Superterran,rocky-iron,non-habitable,0,-2.262172,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-211 b,Terran,rocky-iron,non-habitable,0,-2.341826,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-211 c,Terran,rocky-iron,non-habitable,0,-2.122921,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-212 b,Terran,rocky-iron,non-habitable,0,-2.136634,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-213 b,Superterran,rocky-iron,non-habitable,0,-3.501641,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-213 c,Superterran,rocky-iron,non-habitable,0,-3.146644,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-214 c,Superterran,rocky-iron,non-habitable,0,-2.175519,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-215 b,Superterran,rocky-iron,non-habitable,0,-2.350864,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-215 c,Superterran,rocky-iron,non-habitable,0,-2.146581,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-215 d,Superterran,rocky-iron,non-habitable,0,-2.413828,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-215 e,Superterran,rocky-iron,non-habitable,0,-1.577539,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-216 b,Superterran,rocky-iron,non-habitable,0,-2.989008,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-217 b,Superterran,rocky-iron,non-habitable,0,-3.670553,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-217 c,Superterran,rocky-iron,non-habitable,0,-3.110923,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-218 b,Terran,rocky-iron,non-habitable,0,-2.877042,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-220 b,Subterran,rocky-iron,non-habitable,0,-1.908909,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-220 c,Superterran,rocky-iron,non-habitable,0,-1.762178,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-220 d,Terran,rocky-iron,non-habitable,0,-1.200985,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-220 e,Terran,rocky-iron,non-habitable,0,-1.169771,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-221 b,Superterran,rocky-iron,non-habitable,0,-2.791691,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-223 b,Superterran,rocky-iron,non-habitable,0,-2.524606,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-223 c,Superterran,rocky-iron,non-habitable,0,-2.447439,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-223 e,Superterran,rocky-iron,non-habitable,0,-2.460507,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-224 b,Terran,rocky-iron,non-habitable,0,-2.384355,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-224 d,Superterran,rocky-iron,non-habitable,0,-2.282982,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-224 e,Superterran,rocky-iron,non-habitable,0,-1.840082,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-225 b,Terran,rocky-iron,non-habitable,0,-1.387979,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-225 c,Superterran,rocky-iron,non-habitable,0,-1.627234,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-226 b,Terran,rocky-iron,non-habitable,0,-2.588799,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-226 c,Superterran,rocky-iron,non-habitable,0,-2.628834,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-226 d,Terran,rocky-iron,non-habitable,0,-2.053233,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-228 b,Terran,rocky-iron,non-habitable,0,-3.316387,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-229 b,Superterran,rocky-iron,non-habitable,0,-2.317328,0.1,0.1,0.1,0.6,0.1,1,0.99
