P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,CES_CRS_nu,a1,a2,a3,a4,a5,rho,nu
Kepler-69 c,Superterran,rocky-iron,non-habitable,0,-1.508472,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-70  b,Subterran,rocky-iron,non-habitable,0,-15.133208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-70 c,Terran,rocky-iron,non-habitable,0,-13.506083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-78 b,Terran,rocky-iron,non-habitable,0,-4.423625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-80 b,Superterran,rocky-water,non-habitable,0,-1.884167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-80 d,Terran,rocky-iron,non-habitable,0,-2.471042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-80 e,Terran,rocky-iron,non-habitable,0,-2.065708,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-80 f,Terran,rocky-iron,non-habitable,0,-2.996625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-81 c,Superterran,rocky-iron,non-habitable,0,-2.496646,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-81 d,Terran,rocky-iron,non-habitable,0,-1.262667,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-82 d,Superterran,rocky-iron,non-habitable,0,-3.2655,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-82 e,Superterran,rocky-iron,non-habitable,0,-2.817333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-83 b,Superterran,rocky-iron,non-habitable,0,-2.325479,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-83 c,Superterran,rocky-iron,non-habitable,0,-1.768292,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-83 d,Superterran,rocky-iron,non-habitable,0,-1.872042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-84 b,Superterran,rocky-iron,non-habitable,0,-2.675583,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-84 c,Superterran,rocky-iron,non-habitable,0,-2.533222,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-84 d,Terran,rocky-iron,non-habitable,0,-2.918167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-84 f,Superterran,rocky-iron,non-habitable,0,-2.13875,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-85 b,Superterran,rocky-iron,non-habitable,0,-2.456542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-85 c,Superterran,rocky-iron,non-habitable,0,-2.411889,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-85 d,Terran,rocky-iron,non-habitable,0,-1.725292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-85 e,Terran,rocky-iron,non-habitable,0,-1.602708,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-89 b,Superterran,rocky-iron,non-habitable,0,-3.958667,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-90 b,Terran,rocky-iron,non-habitable,0,-2.627042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-90 c,Terran,rocky-iron,non-habitable,0,-2.399167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-92 d,Superterran,rocky-iron,non-habitable,0,-2.013958,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-93 b,Terran,rocky-iron,non-habitable,0,-2.688542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-100 d,Terran,rocky-water,non-habitable,0,-1.891625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-101 c,Terran,rocky-iron,non-habitable,0,-2.974542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-102 d,Terran,rocky-iron,non-habitable,0,-1.824958,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-102 e,Superterran,rocky-water,non-habitable,0,-1.817396,0.6,0.1,0.1,0.1,0.1,1,1
Kepler-102 f,Terran,rocky-iron,non-habitable,0,-1.279167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-105 c,Terran,rocky-iron,non-habitable,0,-2.768625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-106 c,Superterran,rocky-water,non-habitable,0,-2.253917,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-106 e,Neptunian,rocky-water,non-habitable,0,-2.006243,0.6,0.1,0.1,0.1,0.1,1,1
Kepler-107 b,Superterran,rocky-iron,non-habitable,0,-3.556667,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-107 c,Superterran,rocky-iron,non-habitable,0,-3.166542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-107 d,Terran,rocky-iron,non-habitable,0,-2.60525,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-110 b,Superterran,rocky-iron,non-habitable,0,-2.385792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-110 c,Superterran,rocky-iron,non-habitable,0,-2.185319,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-111 b,Superterran,rocky-iron,non-habitable,0,-3.257792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-112 b,Superterran,rocky-iron,non-habitable,0,-2.486,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-112 c,Superterran,rocky-iron,non-habitable,0,-2.429687,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-113 b,Superterran,rocky-iron,non-habitable,0,-2.337875,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-113 c,Superterran,rocky-water,non-habitable,0,-1.892083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-115 b,Terran,rocky-iron,non-habitable,0,-3.556208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-116 c,Superterran,rocky-iron,non-habitable,0,-2.758208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-118 b,Superterran,rocky-iron,non-habitable,0,-2.507,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-119 c,Terran,rocky-iron,non-habitable,0,-2.455542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-120 b,Superterran,rocky-iron,non-habitable,0,-2.088868,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-120 c,Terran,rocky-iron,non-habitable,0,-1.41825,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-121 b,Superterran,rocky-iron,non-habitable,0,-2.849333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-121 c,Superterran,rocky-iron,non-habitable,0,-2.207021,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-122 b,Superterran,rocky-iron,non-habitable,0,-3.208917,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-122 d,Superterran,rocky-iron,non-habitable,0,-2.282292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-123 c,Terran,rocky-iron,non-habitable,0,-1.9575,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-124 b,Subterran,rocky-iron,non-habitable,0,-2.131125,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-124 c,Superterran,rocky-iron,non-habitable,0,-1.722458,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-124 d,Terran,rocky-iron,non-habitable,0,-1.266,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-125 b,Superterran,rocky-iron,non-habitable,0,-2.398708,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-125 c,Subterran,rocky-iron,non-habitable,0,-1.385625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-126 b,Terran,rocky-iron,non-habitable,0,-2.600167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-126 c,Terran,rocky-iron,non-habitable,0,-2.162958,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-127 b,Terran,rocky-iron,non-habitable,0,-2.364833,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-127 c,Superterran,rocky-iron,non-habitable,0,-2.474833,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-129 b,Superterran,rocky-iron,non-habitable,0,-2.688333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-130 b,Terran,rocky-iron,non-habitable,0,-2.39875,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-130 d,Terran,rocky-iron,non-habitable,0,-1.4035,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-131 b,Superterran,rocky-water,non-habitable,0,-2.208708,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-132 b,Terran,rocky-iron,non-habitable,0,-2.71975,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-132 c,Terran,rocky-iron,non-habitable,0,-2.721542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-132 d,Terran,rocky-iron,non-habitable,0,-2.126708,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-133 b,Superterran,rocky-iron,non-habitable,0,-2.755417,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-134 b,Superterran,rocky-iron,non-habitable,0,-3.084042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-134 c,Terran,rocky-iron,non-habitable,0,-2.385167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-135 b,Superterran,rocky-iron,non-habitable,0,-3.017,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-135 c,Terran,rocky-iron,non-habitable,0,-2.3535,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-136 b,Superterran,rocky-iron,non-habitable,0,-2.689042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-136 c,Superterran,rocky-iron,non-habitable,0,-2.450917,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-137 b,Terran,rocky-iron,non-habitable,0,-2.014292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-137 c,Superterran,rocky-iron,non-habitable,0,-1.791125,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-138 b,Mercurian,rocky-water,non-habitable,0,-1.11975,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-140 b,Superterran,rocky-iron,non-habitable,0,-3.510958,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-140 c,Superterran,rocky-iron,non-habitable,0,-1.646132,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-141 b,Subterran,rocky-iron,non-habitable,0,-2.296875,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-141 c,Terran,rocky-iron,non-habitable,0,-2.01075,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-142 b,Superterran,rocky-iron,non-habitable,0,-3.997375,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-142 d,Superterran,rocky-iron,non-habitable,0,-2.111306,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-143 b,Superterran,rocky-iron,non-habitable,0,-2.570833,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-144 b,Terran,rocky-iron,non-habitable,0,-2.857875,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-144 c,Terran,rocky-iron,non-habitable,0,-2.469208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-145 b,Neptunian,rocky-iron,non-habitable,0,-3.027111,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-145 c,Neptunian,rocky-water,non-habitable,0,-3.410326,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-147 b,Terran,rocky-iron,non-habitable,0,-2.486792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-147 c,Superterran,rocky-iron,non-habitable,0,-2.537361,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-148 b,Superterran,rocky-iron,non-habitable,0,-3.249708,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-149 c,Superterran,rocky-iron,non-habitable,0,-1.44266,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-150 b,Terran,rocky-iron,non-habitable,0,-2.777458,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-151 c,Superterran,rocky-iron,non-habitable,0,-1.994354,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-152 c,Superterran,rocky-iron,non-habitable,0,-2.338847,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-154 b,Superterran,rocky-iron,non-habitable,0,-2.242396,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-154 e,Terran,rocky-iron,non-habitable,0,-2.902042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-154 f,Terran,rocky-iron,non-habitable,0,-2.261417,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-155 b,Superterran,rocky-iron,non-habitable,0,-2.056542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-155 c,Superterran,rocky-iron,non-habitable,0,-2.123014,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-156 b,Superterran,rocky-iron,non-habitable,0,-2.575708,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-157 b,Terran,rocky-iron,non-habitable,0,-3.669208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-157 c,Superterran,rocky-iron,non-habitable,0,-2.371,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-158 b,Superterran,rocky-iron,non-habitable,0,-2.020368,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-158 c,Superterran,rocky-iron,non-habitable,0,-1.734486,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-159 b,Superterran,rocky-iron,non-habitable,0,-2.407917,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-160 b,Terran,rocky-iron,non-habitable,0,-2.755208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-161 b,Superterran,rocky-iron,non-habitable,0,-2.500125,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-161 c,Superterran,rocky-iron,non-habitable,0,-2.278,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-162 b,Terran,rocky-iron,non-habitable,0,-2.40975,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-163 b,Terran,rocky-iron,non-habitable,0,-2.184292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-163 c,Superterran,rocky-iron,non-habitable,0,-2.264167,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-164 b,Terran,rocky-iron,non-habitable,0,-2.870333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-164 d,Superterran,rocky-iron,non-habitable,0,-2.554868,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-165 b,Superterran,rocky-iron,non-habitable,0,-2.384708,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-165 c,Superterran,rocky-iron,non-habitable,0,-2.209569,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-166 b,Superterran,rocky-iron,non-habitable,0,-2.347958,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-166 c,Superterran,rocky-iron,non-habitable,0,-2.368472,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-167 b,Terran,rocky-iron,non-habitable,0,-2.153333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-167 c,Terran,rocky-iron,non-habitable,0,-1.862292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-167 d,Terran,rocky-iron,non-habitable,0,-1.418042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-168 b,Terran,rocky-iron,non-habitable,0,-3.045417,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-169 b,Terran,rocky-iron,non-habitable,0,-2.385125,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-169 c,Terran,rocky-iron,non-habitable,0,-2.012667,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-169 d,Terran,rocky-iron,non-habitable,0,-1.878083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-169 e,Superterran,rocky-iron,non-habitable,0,-2.157187,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-171 b,Superterran,rocky-iron,non-habitable,0,-2.906833,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-171 d,Superterran,rocky-iron,non-habitable,0,-1.747882,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-172 b,Superterran,rocky-iron,non-habitable,0,-3.425375,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-172 d,Superterran,rocky-iron,non-habitable,0,-2.282535,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-173 b,Terran,rocky-iron,non-habitable,0,-2.892458,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-173 c,Superterran,rocky-iron,non-habitable,0,-2.808542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-174 b,Superterran,rocky-iron,non-habitable,0,-1.843528,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-174 c,Terran,rocky-iron,non-habitable,0,-1.298833,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-174 d,Superterran,rocky-iron,psychroplanet,1,-2.007813,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-176 b,Terran,rocky-iron,non-habitable,0,-2.351333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-179 b,Superterran,rocky-iron,non-habitable,0,-2.767333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-179 c,Superterran,rocky-iron,non-habitable,0,-2.325083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-180 b,Terran,rocky-iron,non-habitable,0,-2.129958,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-181 b,Terran,rocky-iron,non-habitable,0,-2.5425,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-181 c,Superterran,rocky-iron,non-habitable,0,-2.563417,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-183 b,Superterran,rocky-iron,non-habitable,0,-2.766,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-183 c,Superterran,rocky-iron,non-habitable,0,-2.40525,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-184 b,Superterran,rocky-iron,non-habitable,0,-2.465479,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-184 c,Superterran,rocky-iron,non-habitable,0,-1.959958,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-184 d,Superterran,rocky-iron,non-habitable,0,-2.582813,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-185 b,Terran,rocky-iron,non-habitable,0,-3.062542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-185 c,Superterran,rocky-iron,non-habitable,0,-1.920194,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-186 b,Terran,rocky-iron,non-habitable,0,-1.581917,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-186 c,Terran,rocky-iron,non-habitable,0,-1.41025,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-186 d,Superterran,rocky-iron,non-habitable,0,-1.368007,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-186 e,Terran,rocky-iron,non-habitable,0,-1.149924,0.6,0.1,0.1,0.1,0.1,1,1
Kepler-186 f,Terran,rocky-iron,hypopsychroplanet,1,-0.987431,0.6,0.1,0.1,0.1,0.1,1,1
Kepler-187 b,Terran,rocky-iron,non-habitable,0,-3.084292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-188 b,Superterran,rocky-iron,non-habitable,0,-3.843708,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-189 b,Terran,rocky-iron,non-habitable,0,-1.809542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-189 c,Superterran,rocky-iron,non-habitable,0,-2.394549,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-190 b,Superterran,rocky-iron,non-habitable,0,-2.927833,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-190 c,Terran,rocky-iron,non-habitable,0,-2.45375,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-191 b,Terran,rocky-iron,non-habitable,0,-1.904417,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-191 c,Superterran,rocky-iron,non-habitable,0,-1.806042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-191 d,Superterran,rocky-iron,non-habitable,0,-2.502542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-193 b,Superterran,rocky-iron,non-habitable,0,-2.720167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-194 b,Terran,rocky-iron,non-habitable,0,-3.649417,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-194 d,Superterran,rocky-iron,non-habitable,0,-2.421667,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-195 b,Superterran,rocky-iron,non-habitable,0,-2.2185,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-195 c,Terran,rocky-iron,non-habitable,0,-1.4765,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-196 b,Superterran,rocky-iron,non-habitable,0,-1.780944,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-196 c,Superterran,rocky-iron,non-habitable,0,-2.154056,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-197 b,Terran,rocky-iron,non-habitable,0,-2.750125,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-197 d,Terran,rocky-iron,non-habitable,0,-2.1095,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-197 e,Terran,rocky-iron,non-habitable,0,-1.808625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-198 c,Superterran,rocky-iron,non-habitable,0,-2.513931,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-198 d,Terran,rocky-iron,non-habitable,0,-3.776167,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-200 b,Superterran,rocky-iron,non-habitable,0,-2.485583,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-200 c,Superterran,rocky-iron,non-habitable,0,-2.201208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-201 b,Superterran,rocky-iron,non-habitable,0,-2.577507,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-202 b,Superterran,rocky-iron,non-habitable,0,-2.179792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-202 c,Superterran,rocky-iron,non-habitable,0,-1.706097,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-203 c,Superterran,rocky-iron,non-habitable,0,-3.119208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-203 d,Terran,rocky-iron,non-habitable,0,-2.250083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-204 c,Superterran,rocky-iron,non-habitable,0,-2.008542,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-205 b,Terran,rocky-iron,non-habitable,0,-2.137125,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-205 c,Superterran,rocky-iron,non-habitable,0,-1.453722,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-206 b,Terran,rocky-iron,non-habitable,0,-2.4705,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-206 c,Superterran,rocky-iron,non-habitable,0,-2.305292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-206 d,Terran,rocky-iron,non-habitable,0,-1.829583,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-207 b,Superterran,rocky-iron,non-habitable,0,-4.535625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-207 c,Terran,rocky-iron,non-habitable,0,-3.75725,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-208 b,Superterran,rocky-iron,non-habitable,0,-3.281667,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-208 c,Terran,rocky-iron,non-habitable,0,-2.734333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-208 d,Terran,rocky-iron,non-habitable,0,-2.398,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-208 e,Terran,rocky-iron,non-habitable,0,-2.244583,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-209 b,Superterran,rocky-iron,non-habitable,0,-2.280903,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-211 b,Terran,rocky-iron,non-habitable,0,-2.362042,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-211 c,Terran,rocky-iron,non-habitable,0,-2.139125,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-212 b,Terran,rocky-iron,non-habitable,0,-2.153083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-213 b,Superterran,rocky-iron,non-habitable,0,-3.54625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-213 c,Superterran,rocky-iron,non-habitable,0,-3.183292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-214 c,Superterran,rocky-iron,non-habitable,0,-2.192667,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-215 b,Superterran,rocky-iron,non-habitable,0,-2.37125,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-215 c,Superterran,rocky-iron,non-habitable,0,-2.163208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-215 d,Superterran,rocky-iron,non-habitable,0,-2.43541,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-215 e,Superterran,rocky-iron,non-habitable,0,-1.584819,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-216 b,Superterran,rocky-iron,non-habitable,0,-3.02225,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-217 b,Superterran,rocky-iron,non-habitable,0,-3.719083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-217 c,Superterran,rocky-iron,non-habitable,0,-3.146792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-218 b,Terran,rocky-iron,non-habitable,0,-2.907917,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-220 b,Subterran,rocky-iron,non-habitable,0,-1.921417,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-220 c,Superterran,rocky-iron,non-habitable,0,-1.772292,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-220 d,Terran,rocky-iron,non-habitable,0,-1.203208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-220 e,Terran,rocky-iron,non-habitable,0,-1.171625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-221 b,Superterran,rocky-iron,non-habitable,0,-2.820792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-223 b,Superterran,rocky-iron,non-habitable,0,-2.548333,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-223 c,Superterran,rocky-iron,non-habitable,0,-2.469667,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-223 e,Superterran,rocky-iron,non-habitable,0,-2.482986,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-224 b,Terran,rocky-iron,non-habitable,0,-2.405375,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-224 d,Superterran,rocky-iron,non-habitable,0,-2.302097,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-224 e,Superterran,rocky-iron,non-habitable,0,-1.851451,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-225 b,Terran,rocky-iron,non-habitable,0,-1.392583,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-225 c,Superterran,rocky-iron,non-habitable,0,-1.635257,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-226 b,Terran,rocky-iron,non-habitable,0,-2.613792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-226 c,Superterran,rocky-iron,non-habitable,0,-2.654625,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-226 d,Terran,rocky-iron,non-habitable,0,-2.068208,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-228 b,Terran,rocky-iron,non-habitable,0,-3.356792,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-229 b,Superterran,rocky-iron,non-habitable,0,-2.337083,0.1,0.1,0.1,0.6,0.1,1,1
Kepler-230 c,Superterran,rocky-iron,non-habitable,0,-1.880458,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-231 b,Superterran,rocky-iron,non-habitable,0,-1.552021,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-231 c,Superterran,rocky-iron,non-habitable,0,-1.741931,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-233 b,Superterran,rocky-iron,non-habitable,0,-2.555069,0.1,0.1,0.6,0.1,0.1,1,1
Kepler-235 b,Superterran,rocky-iron,non-habitable,0,-2.249639,0.1,0.1,0.6,0.1,0.1,1,1
