P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,CES_CRS_nu,a1,a2,a3,a4,a5,rho,nu
GJ 3998 b,Terran,rocky-iron,non-habitable,0,-1.853167,0.1,0.1,0.1,0.6,0.1,1,1
GJ 3998 c,Superterran,rocky-iron,non-habitable,0,-1.578437,0.1,0.1,0.6,0.1,0.1,1,1
HD 1461 b,Superterran,rocky-iron,non-habitable,0,-2.773583,0.1,0.1,0.1,0.6,0.1,1,1
HD 1461 c,Superterran,rocky-iron,non-habitable,0,-2.209417,0.1,0.1,0.1,0.6,0.1,1,1
HD 3167 b,Superterran,rocky-iron,non-habitable,0,-3.794958,0.1,0.1,0.1,0.6,0.1,1,1
HD 7924 c,Superterran,rocky-iron,non-habitable,0,-1.860292,0.1,0.1,0.1,0.6,0.1,1,1
HD 7924 d,Superterran,rocky-iron,non-habitable,0,-1.657292,0.1,0.1,0.1,0.6,0.1,1,1
HD 20794 b,Terran,rocky-iron,non-habitable,0,-1.834667,0.1,0.1,0.1,0.6,0.1,1,1
HD 20794 c,Terran,rocky-iron,non-habitable,0,-1.50575,0.1,0.1,0.1,0.6,0.1,1,1
HD 20794 d,Terran,rocky-iron,non-habitable,0,-1.448063,0.1,0.1,0.6,0.1,0.1,1,1
HD 39194 b,Terran,rocky-iron,non-habitable,0,-2.351958,0.1,0.1,0.1,0.6,0.1,1,1
HD 39194 c,Superterran,rocky-iron,non-habitable,0,-1.928375,0.1,0.1,0.1,0.6,0.1,1,1
HD 39194 d,Superterran,rocky-iron,non-habitable,0,-1.568792,0.1,0.1,0.1,0.6,0.1,1,1
HD 40307 b,Terran,rocky-iron,non-habitable,0,-2.208458,0.1,0.1,0.1,0.6,0.1,1,1
HD 40307 c,Superterran,rocky-iron,non-habitable,0,-1.872917,0.1,0.1,0.1,0.6,0.1,1,1
HD 40307 d,Superterran,rocky-iron,non-habitable,0,-1.784229,0.1,0.1,0.6,0.1,0.1,1,1
HD 40307 e,Terran,rocky-iron,non-habitable,0,-1.351417,0.1,0.1,0.1,0.6,0.1,1,1
HD 40307 f,Terran,rocky-iron,non-habitable,0,-1.325118,0.1,0.1,0.6,0.1,0.1,1,1
HD 40307 g,Superterran,rocky-iron,psychroplanet,1,-1.610924,0.1,0.1,0.6,0.1,0.1,1,1
HD 85512 b,Terran,rocky-iron,non-habitable,0,-1.298979,0.1,0.1,0.6,0.1,0.1,1,1
HD 93385 b,Superterran,rocky-iron,non-habitable,0,-2.40325,0.1,0.1,0.1,0.6,0.1,1,1
HD 96700 b,Superterran,rocky-iron,non-habitable,0,-2.72275,0.1,0.1,0.1,0.6,0.1,1,1
HD 97658 b,Superterran,rocky-water,non-habitable,0,-2.002375,0.1,0.1,0.1,0.6,0.1,1,1
HD 106315 b,Superterran,rocky-water,non-habitable,0,-2.679208,0.1,0.1,0.1,0.6,0.1,1,1
HD 134606 b,Superterran,rocky-iron,non-habitable,0,-2.348792,0.1,0.1,0.1,0.6,0.1,1,1
HD 136352 b,Superterran,rocky-iron,non-habitable,0,-2.31525,0.1,0.1,0.1,0.6,0.1,1,1
HD 136352 d,Superterran,rocky-iron,non-habitable,0,-1.844438,0.1,0.1,0.6,0.1,0.1,1,1
HD 154088 b,Superterran,rocky-iron,non-habitable,0,-1.944167,0.1,0.1,0.1,0.6,0.1,1,1
HD 156668 b,Terran,rocky-iron,non-habitable,0,-2.201792,0.1,0.1,0.1,0.6,0.1,1,1
HD 175607 b,Superterran,rocky-iron,non-habitable,0,-1.811597,0.1,0.1,0.6,0.1,0.1,1,1
HD 181433 b,Superterran,rocky-iron,non-habitable,0,-2.013667,0.1,0.1,0.1,0.6,0.1,1,1
HD 215152 b,Terran,rocky-iron,non-habitable,0,-1.962917,0.1,0.1,0.1,0.6,0.1,1,1
HD 215152 c,Terran,rocky-iron,non-habitable,0,-1.792708,0.1,0.1,0.1,0.6,0.1,1,1
HD 215497 b,Superterran,rocky-iron,non-habitable,0,-2.637167,0.1,0.1,0.1,0.6,0.1,1,1
HD 219134 b,Terran,rocky-iron,non-habitable,0,-2.429125,0.1,0.1,0.1,0.6,0.1,1,1
HD 219134 c,Terran,rocky-iron,non-habitable,0,-1.983708,0.1,0.1,0.1,0.6,0.1,1,1
HD 219134 e,Terran,rocky-iron,non-habitable,0,-1.280194,0.1,0.1,0.6,0.1,0.1,1,1
HIP 68468 b,Terran,rocky-iron,non-habitable,0,-3.725333,0.1,0.1,0.1,0.6,0.1,1,1
