P. Name,CRS_Yscore,DRS_Yscore,CRS_Norm,DRS_Norm
Kepler-279 d,2.865135,2.558136,0.009100444,0.0153301496
Kepler-280 b,1.418286,1.362888,0.0045048601,0.0081673832
Kepler-280 c,1.929982,1.798823,0.006130145,0.0107798122
Kepler-282 b,1.01397,1.009763,0.0032206431,0.0060512099
Kepler-282 c,1.184545,1.160951,0.0037624354,0.0069572347
Kepler-282 d,4.106992,3.545615,0.0130449178,0.0212478181
Kepler-282 e,2.984202,2.663678,0.009478633,0.0159626315
Kepler-283 b,2.043477,1.894304,0.0064906359,0.0113520015
Kepler-283 c,1.735285,1.635174,0.0055117347,0.0097991124
Kepler-284 b,2.151632,1.984451,0.0068341654,0.0118922257
Kepler-285 b,1.320732,1.278938,0.0041950022,0.0076642958
Kepler-285 c,1.112397,1.097248,0.0035332739,0.0065754815
Kepler-286 b,1.237038,1.205277,0.0039291674,0.0072228673
Kepler-286 c,1.347475,1.302187,0.0042799452,0.0078036201
Kepler-286 d,1.306187,1.266866,0.0041488033,0.0075919519
Kepler-286 e,1.700018,1.605404,0.0053997172,0.0096207096
Kepler-287 b,2.24166,2.059285,0.0071201187,0.0123406837
Kepler-288 b,1.622765,1.538928,0.0051543407,0.0092223387
Kepler-289 b,2.344609,2.144724,0.0074471126,0.0128526943
Kepler-290 b,2.161401,1.992573,0.0068651944,0.0119408985
Kepler-291 b,2.0897,1.932102,0.0066374526,0.0115785137
Kepler-291 c,1.818143,1.704645,0.0057749141,0.0102154314
Kepler-292 b,1.303545,1.264074,0.0041404116,0.0075752202
Kepler-292 c,1.436176,1.379153,0.0045616836,0.0082648545
Kepler-292 d,2.144357,1.978295,0.006811058,0.0118553347
Kepler-292 f,2.263008,2.077104,0.0071879257,0.0124474677
Kepler-294 b,1.718912,1.620426,0.0054597296,0.009710732
Kepler-295 b,1.200409,1.174897,0.0038128238,0.0070408089
Kepler-295 c,1.143319,1.125106,0.0036314905,0.0067424263
Kepler-295 d,1.322108,1.281383,0.0041993727,0.0076789479
Kepler-296 b,0.944389,0.989054,0.002999635,0.005927107
Kepler-296 c,2.062759,1.91037,0.0065518807,0.0114482803
Kepler-296 d,2.180892,2.008754,0.0069271031,0.0120378664
Kepler-296 e,1.677868,1.586438,0.0053293628,0.009507052
Kepler-296 f,1.716655,1.619423,0.0054525608,0.0097047213
Kepler-298 b,1.87832,1.755844,0.0059660525,0.0105222519
Kepler-298 c,1.84884,1.730976,0.0058724161,0.0103732253
Kepler-298 d,2.413605,2.201558,0.0076662625,0.0131932835
Kepler-299 b,1.306845,1.266611,0.0041508933,0.0075904237
Kepler-299 d,1.788626,1.680109,0.0056811601,0.0100683945
Kepler-299 e,1.792991,1.684015,0.0056950246,0.010091802
Kepler-300 b,1.615397,1.533133,0.005130938,0.0091876109
Kepler-300 c,2.161097,1.992298,0.0068642288,0.0119392505
Kepler-301 b,1.324907,1.282144,0.0042082631,0.0076835084
Kepler-301 c,1.316832,1.275905,0.0041826147,0.0076461199
Kepler-301 d,1.685586,1.592841,0.0053538772,0.0095454233
Kepler-303 b,0.891951,0.982893,0.0028330777,0.005890186
Kepler-303 c,1.121198,1.105755,0.0035612282,0.0066264615
Kepler-304 c,2.08499,1.928965,0.0066224924,0.0115597146
Kepler-306 b,1.477003,1.414642,0.0046913612,0.0084775296
Kepler-306 c,2.263633,2.077665,0.0071899109,0.0124508296
Kepler-306 d,2.374849,2.169688,0.007543163,0.0130022961
Kepler-306 e,2.180819,2.008687,0.0069268712,0.0120374649
Kepler-308 b,2.039254,1.890615,0.0064772225,0.0113298944
Kepler-308 c,2.074127,1.91989,0.0065879886,0.0115053308
Kepler-309 b,1.511143,1.444159,0.004799799,0.0086544162
Kepler-310 b,1.172297,1.150279,0.0037235325,0.0068932806
Kepler-310 d,2.373942,2.168881,0.0075402821,0.01299746
Kepler-311 b,1.646869,1.55961,0.0052309015,0.0093462797
Kepler-311 c,1.392879,1.342401,0.0044241606,0.0080446107
Kepler-312 b,1.295656,1.254913,0.004115354,0.0075203211
Kepler-314 b,0.857523,0.984383,0.0027237251,0.0058991151
Kepler-316 b,1.057624,1.048931,0.0033593,0.0062859321
Kepler-316 c,1.131414,1.114646,0.003593677,0.0066797426
Kepler-317 b,2.004018,1.860953,0.0063653034,0.0111521389
Kepler-317 c,1.652547,1.564776,0.0052489364,0.009377238
Kepler-319 b,1.575672,1.498883,0.0050047606,0.0089823609
Kepler-319 d,2.191718,2.017819,0.0069614894,0.0120921903
Kepler-320 b,1.136047,1.1177,0.0036083927,0.0066980443
Kepler-320 c,1.338364,1.295026,0.0042510062,0.0077607064
Kepler-321 b,1.718288,1.619946,0.0054577476,0.0097078555
Kepler-321 c,2.23354,2.052503,0.0070943274,0.0123000412
Kepler-322 b,1.026254,1.019262,0.0032596604,0.0061081346
Kepler-322 c,1.620559,1.537208,0.0051473339,0.0092120312
Kepler-323 b,1.42,1.363255,0.0045103042,0.0081695825
Kepler-323 c,1.58461,1.505762,0.0050331501,0.0090235847
Kepler-324 b,1.133641,1.115815,0.0036007506,0.0066867481
Kepler-326 b,1.485545,1.421338,0.0047184929,0.0085176567
Kepler-326 c,1.368492,1.32091,0.0043467009,0.0079158215
Kepler-326 d,1.192818,1.168203,0.0037887127,0.0070006938
Kepler-327 b,1.099102,1.085908,0.0034910453,0.0065075243
Kepler-327 c,1.022306,1.018108,0.0032471205,0.006101219
Kepler-327 d,1.650777,1.563521,0.0052433144,0.0093697172
Kepler-328 b,2.25871,2.076533,0.0071742741,0.0124440458
Kepler-329 b,1.358404,1.312761,0.0043146587,0.007866987
Kepler-329 c,1.848821,1.730959,0.0058723557,0.0103731234
Kepler-330 b,1.308377,1.269182,0.0041557594,0.007605831
Kepler-330 c,1.869731,1.748717,0.0059387716,0.0104795419
Kepler-331 b,1.736618,1.636413,0.0055159687,0.0098065373
Kepler-331 c,1.763462,1.658992,0.0056012325,0.0099418466
Kepler-331 d,1.575261,1.499163,0.0050034552,0.0089840388
Kepler-332 b,1.145594,1.126958,0.0036387165,0.0067535247
Kepler-332 c,1.076372,1.066009,0.0034188487,0.0063882755
Kepler-332 d,1.154966,1.135547,0.0036684845,0.0068049961
Kepler-333 b,1.284043,1.248437,0.004078468,0.0074815123
Kepler-333 c,1.089797,1.078161,0.0034614901,0.0064610988
Kepler-334 b,1.118711,1.102207,0.0035533288,0.0066051994
Kepler-334 c,1.394827,1.34396,0.004430348,0.0080539533
Kepler-334 d,1.371383,1.323944,0.0043558835,0.0079340034
Kepler-336 b,1.041912,1.032233,0.0033093944,0.0061858659
Kepler-336 c,2.014678,1.869884,0.0063991625,0.0112056597
Kepler-336 d,2.274015,2.086287,0.0072228869,0.0125024987
Kepler-337 b,1.507897,1.439396,0.0047894889,0.0086258729
Kepler-337 c,1.979564,1.840235,0.0062876309,0.0110279821
Kepler-338 b,2.360455,2.157699,0.0074974438,0.0129304496
Kepler-338 c,2.253514,2.069117,0.0071577702,0.0123996039
Kepler-339 b,1.388697,1.338297,0.0044108774,0.0080200166
Kepler-339 c,1.139762,1.121409,0.0036201925,0.0067202712
Kepler-339 d,1.146612,1.12778,0.00364195,0.0067584507
Kepler-341 b,1.17408,1.150959,0.0037291958,0.0068973556
Kepler-341 c,1.646388,1.559233,0.0052293738,0.0093440205
Kepler-341 d,1.776881,1.670371,0.0056438548,0.0100100375
Kepler-341 e,1.907431,1.780324,0.006058517,0.0106689532
Kepler-342 b,2.167665,1.997617,0.0068850906,0.0119711257
Kepler-342 c,1.88404,1.760508,0.0059842208,0.0105502018
Kepler-342 d,2.405847,2.19532,0.007641621,0.0131559011
Kepler-343 b,2.329796,2.132152,0.0074000625,0.012777354
Kepler-343 c,1.940666,1.80813,0.0061640803,0.0108355863
Kepler-345 b,0.805445,0.957538,0.0025583113,0.005738241
Kepler-345 c,1.177709,1.155401,0.0037407224,0.0069239752
Kepler-347 b,1.895341,1.770011,0.0060201158,0.0106071505
Kepler-347 c,1.682571,1.590395,0.0053443008,0.0095307651
Kepler-348 b,1.486302,1.421923,0.0047208973,0.0085211624
Kepler-348 c,1.304222,1.265312,0.004142562,0.0075826392
Kepler-349 b,1.835104,1.719033,0.0058287868,0.0103016545
Kepler-349 c,1.884469,1.760851,0.0059855834,0.0105522573
Kepler-350 b,1.787496,1.67885,0.0056775709,0.0100608497
Kepler-350 d,2.440513,2.20175,0.0077517296,0.0131944341
Kepler-352 b,0.870849,0.977659,0.0027660521,0.0058588202
Kepler-352 c,1.214596,1.187647,0.0038578855,0.0071172159
Kepler-353 b,0.885251,0.977432,0.0028117967,0.0058574598
Kepler-353 c,1.33899,1.296118,0.0042529945,0.0077672504
Kepler-354 b,1.769743,1.664178,0.0056211826,0.0099729247
Kepler-354 c,1.275021,1.240467,0.0040498117,0.0074337505
Kepler-354 d,1.210063,1.18387,0.0038434875,0.0070945815
Kepler-355 b,1.424101,1.369061,0.0045233301,0.0082043762
Kepler-356 b,1.536481,1.464559,0.0048802794,0.0087766673
Kepler-356 c,1.738535,1.637499,0.0055220576,0.0098130454
Kepler-357 b,1.772284,1.666215,0.0056292535,0.0099851319
Kepler-360 b,1.611029,1.528335,0.005117064,0.009158858
Kepler-360 c,2.015607,1.87061,0.0064021132,0.0112100104
Kepler-361 b,1.410944,1.357248,0.0044815399,0.0081335844
Kepler-362 b,0.890748,0.981926,0.0028292567,0.005884391
Kepler-362 c,1.393426,1.34317,0.004425898,0.0080492191
Kepler-363 b,1.154301,1.13268,0.0036663723,0.006787815
Kepler-363 c,1.64144,1.554836,0.0052136576,0.0093176706
Kepler-363 d,1.974478,1.836262,0.0062714764,0.0110041731
Kepler-364 b,1.501036,1.435419,0.0047676965,0.0086020399
Kepler-364 c,2.062527,1.910158,0.0065511438,0.0114470098
Kepler-365 b,1.962859,1.826553,0.0062345713,0.0109459899
Kepler-365 c,1.584323,1.506672,0.0050322385,0.009029038
Kepler-366 b,1.436541,1.378704,0.0045628429,0.0082621638
Kepler-366 c,1.727786,1.628591,0.0054879158,0.0097596624
Kepler-367 b,1.263004,1.230132,0.0040116424,0.0073718159
Kepler-367 c,1.171072,1.1498,0.0037196415,0.0068904101
Kepler-369 b,1.116033,1.101037,0.0035448228,0.0065981879
Kepler-369 c,1.362805,1.316776,0.0043286374,0.0078910477
Kepler-370 b,1.54792,1.474994,0.0049166127,0.0088392012
Kepler-370 c,1.824871,1.710881,0.0057962841,0.0102528019
Kepler-371 b,1.811856,1.699916,0.0057549449,0.010187092
Kepler-371 c,1.707294,1.611499,0.0054228277,0.0096572351
Kepler-372 b,1.33898,1.294854,0.0042529628,0.0077596756
Kepler-372 c,1.998829,1.856842,0.0063488217,0.0111275029
Kepler-372 d,1.630001,1.545773,0.0051773242,0.0092633587
Kepler-373 b,1.334351,1.291246,0.0042382598,0.007738054
Kepler-373 c,1.216589,1.189278,0.0038642158,0.00712699
Kepler-374 b,1.048008,1.038292,0.003328757,0.0062221757
Kepler-374 c,1.105287,1.089956,0.0035106906,0.0065317827
Kepler-374 d,1.291458,1.253669,0.00410202,0.0075128662
Kepler-375 b,1.401355,1.349676,0.0044510827,0.0080882076
Kepler-376 b,1.067812,1.056908,0.0033916598,0.0063337359
Kepler-376 c,1.72741,1.628292,0.0054867216,0.0097578706
Kepler-377 b,1.359434,1.313149,0.0043179302,0.0078693121
Kepler-377 c,1.977111,1.838803,0.0062798395,0.0110194005
Kepler-378 b,0.812417,0.957543,0.0025804562,0.0057382709
Kepler-378 c,0.785552,0.945101,0.0024951257,0.0056637097
Kepler-379 b,1.604398,1.523735,0.0050960022,0.0091312915
Kepler-379 c,2.191747,2.017845,0.0069615815,0.0120923461
Kepler-380 b,1.188922,1.163283,0.003776338,0.0069712097
Kepler-380 c,1.255168,1.222103,0.0039867532,0.0073237005
Kepler-381 b,1.00638,1.008443,0.0031965352,0.0060432995
Kepler-381 c,1.116434,1.100431,0.0035460965,0.0065945563
Kepler-382 b,1.300267,1.26153,0.0041299998,0.0075599748
Kepler-382 c,1.539613,1.468439,0.0048902275,0.008799919
Kepler-383 b,1.286692,1.250647,0.0040868819,0.0074947562
Kepler-383 c,1.209179,1.18312,0.0038406797,0.0070900869
Kepler-384 b,1.105284,1.091505,0.003510681,0.0065410654
Kepler-384 c,1.111579,1.097347,0.0035306757,0.0065760748
Kepler-386 b,1.3527,1.307743,0.0042965412,0.0078369156
Kepler-386 c,1.523182,1.454742,0.0048380382,0.008717837
Kepler-387 b,1.035235,1.028498,0.0032881865,0.0061634832
Kepler-387 c,0.893483,0.984117,0.0028379438,0.005897521
Kepler-388 b,0.835991,0.972961,0.0026553336,0.0058306664
Kepler-388 c,0.865296,0.973091,0.0027484142,0.0058314455
Kepler-389 b,1.474493,1.412099,0.0046833887,0.0084622901
Kepler-389 c,1.416827,1.363219,0.0045002259,0.0081693668
Kepler-390 b,0.83665,0.973861,0.0026574268,0.0058360599
Kepler-390 c,0.819321,0.964377,0.0026023852,0.0057792251
Kepler-392 b,1.011596,1.006958,0.0032131026,0.0060344004
Kepler-392 c,1.096668,1.083255,0.0034833143,0.0064916256
Kepler-393 b,1.27409,1.23863,0.0040468546,0.0074227419
Kepler-393 c,1.305803,1.266563,0.0041475836,0.0075901361
Kepler-394 b,1.557578,1.483362,0.0049472892,0.0088893481
Kepler-394 c,1.607973,1.526576,0.0051073573,0.0091483168
Kepler-395 b,1.023132,1.018792,0.0032497441,0.006105318
Kepler-395 c,1.280143,1.24511,0.0040660805,0.0074615746
Kepler-396 b,3.233471,2.854288,0.0102703788,0.0171049007
Kepler-397 b,2.364649,2.161266,0.007510765,0.0129518255
Kepler-398 b,0.936305,0.988615,0.002973958,0.0059244762
Kepler-398 c,1.003099,1.000969,0.0031861138,0.0059985101
Kepler-399 b,0.960724,0.990292,0.0030515194,0.005934526
Kepler-399 c,1.385787,1.336599,0.0044016345,0.008009841
Kepler-399 d,1.811198,1.699305,0.0057528549,0.0101834304
Kepler-400 b,1.600515,1.520206,0.0050836687,0.0091101433
Kepler-400 c,1.447756,1.389644,0.0045984648,0.008327724
Kepler-401 b,1.654766,1.566537,0.0052559846,0.0093877912
Kepler-401 c,2.062745,1.910357,0.0065518362,0.0114482024
Kepler-402 b,1.216857,1.187734,0.0038650671,0.0071177373
Kepler-402 c,1.52361,1.453973,0.0048393976,0.0087132286
Kepler-402 d,1.354908,1.308948,0.0043035544,0.0078441368
Kepler-402 e,1.425847,1.370438,0.0045288759,0.0082126281
Kepler-403 b,1.238462,1.207275,0.0039336904,0.0072348407
Kepler-403 c,1.680753,1.588903,0.0053385263,0.009521824
Kepler-404 b,1.246029,1.214873,0.0039577252,0.0072803732
Kepler-404 c,1.648504,1.561526,0.0052360947,0.0093577618
Kepler-405 b,1.998961,1.856948,0.006349241,0.0111281381
Kepler-413(AB) b,3.672137,3.171109,0.0116637007,0.0190035149
GJ 667C c,1.482312,1.172796,0.004708224,0.0070282183
KOI-82 b,2.11172,1.951206,0.0067073941,0.0116929983
KOI-82 c,1.306339,1.267524,0.0041492861,0.0075958951
KOI-82 d,0.793877,0.951994,0.0025215682,0.0057050174
KOI-1781 b,1.816718,1.703534,0.0057703879,0.0102087736
KOI-1843 b,1.483787,1.409905,0.004712909,0.0084491421
KOI-2700 b,1.045637,1.034947,0.003321226,0.0062021301
MOA-2007-BLG-192-L b,1.406957,1.3547,0.0044688761,0.0081183149
MOA-2010-BLG-328L b,1.856081,1.736871,0.0058954155,0.0104085523
OGLE-05-390L b,1.620743,1.537809,0.0051479183,0.0092156328
OGLE-2013-BLG-0341L b,1.177102,1.15491,0.0037387944,0.0069210328
PSR 1257 12 b,0.67963,0.873934,0.0021586888,0.005237227
PSR 1257 12 c,1.517213,1.449421,0.004819079,0.0086859498
PSR 1257 12 d,1.487796,1.424317,0.0047256427,0.008535509
GJ 163 c,1.754159,3.811899,0.0055716836,0.0228435791
