P. Name,CRS_Yscore,DRS_Yscore,CRS_Norm,DRS_Norm
Kepler-55 f,1.531953,1.462187,0.0048658972,0.0087624526
Kepler-57 b,2.153832,1.98623,0.0068411532,0.0119028868
Kepler-57 c,314.834639,166.869604,1,1
Kepler-58 b,16.470806,12.203102,0.0523157365,0.0731295677
Kepler-58 c,22.376547,16.029697,0.0710739678,0.0960612156
Kepler-59 b,265.210253,142.701156,0.8423795229,0.8551656658
Kepler-59 c,38.072832,25.600643,0.120929616,0.1534170537
Kepler-60 b,6.296963,5.179141,0.0200008583,0.0310370545
Kepler-60 c,10.141667,7.918996,0.0322126785,0.0474561922
Kepler-60 d,10.766198,8.355335,0.0341963579,0.0500710423
Kepler-61 b,2.060998,1.908765,0.0065462873,0.011438662
Kepler-62 b,1.281825,1.246049,0.004071423,0.0074672018
Kepler-62 c,0.744609,0.921938,0.0023650797,0.0055249007
Kepler-62 d,1.869466,1.748472,0.0059379298,0.0104780736
Kepler-62 e,1.547538,1.475502,0.0049153994,0.0088422455
Kepler-62 f,1.362128,1.316121,0.0043264871,0.0078871225
Kepler-65 b,1.410625,1.354991,0.0044805267,0.0081200588
Kepler-65 c,2.475552,2.249549,0.007863023,0.0134808794
Kepler-65 d,1.393932,1.334485,0.0044275052,0.0079971725
Kepler-68 b,2.038418,1.873534,0.0064745671,0.0112275331
Kepler-68 c,0.9232,0.989847,0.002932333,0.0059318592
Kepler-69 b,2.143254,1.977415,0.0068075546,0.0118500611
Kepler-69 c,1.641635,1.555781,0.0052142769,0.0093233337
Kepler-70  b,1.146886,1.097852,0.0036428203,0.0065791011
Kepler-70 c,1.135926,1.093456,0.0036080083,0.0065527572
Kepler-78 b,1.215225,1.18432,0.0038598834,0.0070972782
Kepler-80 b,2.263346,2.077408,0.0071889993,0.0124492894
Kepler-80 d,1.367284,1.319953,0.0043428639,0.0079100865
Kepler-80 e,1.455791,1.396535,0.0046239861,0.0083690197
Kepler-80 f,1.287667,1.249927,0.0040899788,0.0074904415
Kepler-81 c,2.364309,2.160972,0.0075096851,0.0129500637
Kepler-81 d,1.181878,1.159197,0.0037539643,0.0069467235
Kepler-82 d,1.722213,1.622954,0.0054702145,0.0097258815
Kepler-82 e,2.37871,2.172876,0.0075554266,0.0130214008
Kepler-83 b,2.251008,2.066987,0.0071498105,0.0123868395
Kepler-83 c,1.858884,1.739474,0.0059043186,0.0104241513
Kepler-83 d,1.860219,1.740656,0.0059085589,0.0104312347
Kepler-84 b,2.119446,1.95743,0.006731934,0.0117302969
